,Released Year,Movie Title,Internet Movie Database Rating,IMDB Votes
0,2015,Ant-Man,7.3/10,"482,910"
1,2018,Ant-Man and the Wasp,7.1/10,"204,018"
2,2018,Aquaman,7.2/10,"208,461"
3,2008,The Dark Knight,9.0/10,"2,029,721"
4,2012,The Dark Knight Rises,8.4/10,"1,366,558"
5,2018,Black Panther,7.3/10,"486,841"
6,2011,Captain America: The First Avenger,6.9/10,"641,472"
7,2014,Captain America: The Winter Soldier,7.8/10,"646,011"
8,2019,Captain Marvel,6.9/10,"80,858"
9,2016,Deadpool,8.0/10,"802,733"
10,2018,Deadpool 2,7.8/10,"359,880"
11,2016,Doctor Strange,7.5/10,"485,846"
12,2011,Ghost Rider: Spirit of Vengeance,4.3/10,"102,335"
13,2011,Green Lantern,5.5/10,"250,387"
14,2008,Iron Man,7.9/10,"842,429"
15,2010,Iron Man 2,7.0/10,"642,092"
16,2013,Iron Man 3,7.2/10,"672,550"
17,2008,Punisher: War Zone,6.0/10,"56,730"
18,2017,Spider-Man: Homecoming,7.5/10,"398,278"
19,2012,The Amazing Spider-Man,7.0/10,"520,000"
20,2014,The Amazing Spider-Man 2,6.6/10,"382,051"
21,2013,Man of Steel,7.1/10,"639,837"
22,2008,The Incredible Hulk,6.8/10,"388,957"
23,2011,Thor,7.0/10,"661,810"
24,2017,Thor: Ragnarok,7.9/10,"439,344"
25,2013,Thor: The Dark World,7.0/10,"526,911"
26,2018,Venom,6.8/10,"245,745"
27,2017,Logan,8.1/10,"545,270"
28,2013,The Wolverine,6.7/10,"395,575"
29,2009,X-Men Origins: Wolverine,6.6/10,"429,641"
30,2017,Wonder Woman,7.5/10,"472,212"
