,name,Gender,Eye color,Race,Hair color,Height,Publisher,Skin color,Alignment,Weight
29,Ant-Man,Male,blue,Human,Blond,211,Marvel Comics,-,good,122
37,Aquaman,Male,blue,Atlantean,Blond,185,DC Comics,-,good,146
68,Batman,Male,blue,Human,black,188,DC Comics,-,good,95
105,Black Panther,Male,brown,Human,Black,183,Marvel Comics,-,good,90
148,Captain America,Male,blue,Human,blond,188,Marvel Comics,-,good,108
155,Captain Marvel,Female,blue,Human-Kree,Blond,180,Marvel Comics,-,good,74
212,Deadpool,Male,brown,Mutant,No Hair,188,Marvel Comics,-,neutral,95
225,Doctor Strange,Male,grey,Human,Black,188,Marvel Comics,-,good,81
279,Ghost Rider,Male,red,Demon,No Hair,188,Marvel Comics,-,good,99
305,Green Lantern,Male,brown,Human,Brown,188,DC Comics,-,good,90
331,The Incredible Hulk,Male,green,Human / Radiation,Green,244,Marvel Comics,green,good,630
345,Iron Man,Male,blue,Human,Black,198,Marvel Comics,-,good,191
622,Spider-Man,Male,hazel,Human,Brown,178,Marvel Comics,-,good,74
646,Superman,Male,blue,Kryptonian,Black,191,DC Comics,-,good,101
661,Thor,Male,blue,Asgardian,Blond,198,Marvel Comics,-,good,288
689,Venom,Male,blue,Symbiote,Strawberry Blond,191,Marvel Comics,-,bad,117
719,Wolverine,Male,blue,Mutant,Black,160,Marvel Comics,-,good,135
722,Wonder Woman,Female,blue,Amazon,Black,183,DC Comics,-,good,74
532,Punisher,Male,blue,Human,Black,183,Marvel Comics,-,good,90
